epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,6828.51,1.2522,0.78241,0.25668,1.20135,1.35536,0.82392,0.79503,0.8349,0.53746,0.89035,0.86292,0.92133,0.84085,1.33061,0.71038,0.23444,1.07957,1.43471,0.003169,0.003169,0.003169
71,6924.94,1.24503,0.77083,0.25193,1.19861,1.35033,0.82673,0.7943,0.83508,0.53995,0.89287,0.86375,0.92155,0.84068,1.33267,0.70882,0.23542,1.07631,1.4355,0.00307,0.00307,0.00307
72,7021.45,1.25267,0.76992,0.25117,1.18888,1.35304,0.82863,0.79767,0.83401,0.54013,0.89348,0.86774,0.92039,0.83918,1.33408,0.70877,0.2343,1.07711,1.43477,0.002971,0.002971,0.002971
73,7117.63,1.24925,0.75867,0.25346,1.18175,1.35574,0.83377,0.80038,0.83511,0.54247,0.89844,0.8696,0.92288,0.84043,1.33529,0.71066,0.23411,1.07418,1.43604,0.002872,0.002872,0.002872
74,7214.15,1.2402,0.7572,0.25195,1.17718,1.34527,0.82429,0.80624,0.83686,0.54006,0.8909,0.87136,0.92377,0.84216,1.33487,0.71063,0.23399,1.07453,1.437,0.002773,0.002773,0.002773
75,7310.54,1.23438,0.74608,0.24756,1.16281,1.34158,0.82332,0.81429,0.83838,0.54024,0.89061,0.87875,0.92496,0.84219,1.33522,0.70929,0.23439,1.0701,1.43848,0.002674,0.002674,0.002674
76,7406.59,1.23269,0.73469,0.24572,1.15637,1.34092,0.82955,0.8127,0.83967,0.54073,0.89178,0.87845,0.9256,0.84377,1.33533,0.70827,0.2347,1.06597,1.4385,0.002575,0.002575,0.002575
77,7503,1.23022,0.74466,0.24919,1.16851,1.33848,0.82462,0.80841,0.84039,0.5371,0.88737,0.87208,0.92564,0.84352,1.3363,0.70698,0.234,1.0674,1.43803,0.002476,0.002476,0.002476
78,7599.38,1.22491,0.74682,0.24711,1.15761,1.33486,0.83731,0.8041,0.8401,0.53894,0.90327,0.87027,0.9266,0.84624,1.33785,0.70732,0.23342,1.06719,1.43717,0.002377,0.002377,0.002377
79,7695.9,1.2266,0.74916,0.24332,1.14516,1.33105,0.8276,0.80185,0.83885,0.53667,0.90307,0.86336,0.92698,0.84609,1.33908,0.70784,0.23385,1.06758,1.43759,0.002278,0.002278,0.002278
80,7792.35,1.21633,0.71621,0.24307,1.1497,1.32638,0.82951,0.80897,0.83963,0.54063,0.91002,0.86758,0.92739,0.84744,1.33813,0.70373,0.23421,1.06576,1.43661,0.002179,0.002179,0.002179
81,7888.59,1.21062,0.7383,0.24389,1.13988,1.31874,0.8304,0.80656,0.842,0.54162,0.90854,0.87064,0.92782,0.8475,1.33914,0.70461,0.23436,1.06487,1.43774,0.00208,0.00208,0.00208
82,7984.9,1.21166,0.72577,0.2431,1.14589,1.32731,0.83164,0.80127,0.84279,0.54246,0.91072,0.87048,0.92762,0.84765,1.33774,0.70386,0.23419,1.06441,1.4369,0.001981,0.001981,0.001981
83,8081.28,1.20046,0.71109,0.241,1.12077,1.31368,0.827,0.80637,0.84219,0.54252,0.90659,0.87502,0.92751,0.84804,1.33709,0.70287,0.23379,1.06288,1.43617,0.001882,0.001882,0.001882
84,8177.56,1.20192,0.71093,0.24134,1.12675,1.31777,0.82577,0.80406,0.84237,0.54507,0.89721,0.86991,0.92856,0.84826,1.33822,0.70278,0.23438,1.06249,1.43639,0.001783,0.001783,0.001783
85,8273.81,1.19339,0.71474,0.23873,1.12025,1.31344,0.82799,0.80336,0.8434,0.54585,0.90052,0.86759,0.92807,0.84832,1.33753,0.70248,0.23474,1.06257,1.43615,0.001684,0.001684,0.001684
86,8370.23,1.20026,0.69651,0.23749,1.10649,1.31406,0.82445,0.80382,0.84279,0.54638,0.90101,0.86723,0.92862,0.84849,1.33784,0.70227,0.23441,1.06254,1.4366,0.001585,0.001585,0.001585
87,8466.61,1.19257,0.71108,0.23608,1.10839,1.31142,0.82058,0.81314,0.84293,0.54719,0.89552,0.87177,0.92884,0.84781,1.33855,0.70308,0.23463,1.06176,1.43701,0.001486,0.001486,0.001486
88,8562.99,1.18698,0.69053,0.23458,1.10525,1.31242,0.82152,0.80572,0.84212,0.54537,0.89935,0.88004,0.92885,0.84754,1.33797,0.70395,0.23462,1.06128,1.43655,0.001387,0.001387,0.001387
89,8659.15,1.18023,0.68777,0.23271,1.08924,1.29715,0.82304,0.80391,0.84192,0.54578,0.90041,0.88026,0.92883,0.84736,1.33797,0.70428,0.23477,1.06132,1.43624,0.001288,0.001288,0.001288
90,8755.52,1.17881,0.68771,0.23143,1.08767,1.30389,0.82124,0.79957,0.84178,0.54541,0.89659,0.87643,0.92883,0.84715,1.33786,0.70507,0.23465,1.06121,1.43643,0.001189,0.001189,0.001189
91,8851.58,1.13161,0.55525,0.20954,0.93647,1.28179,0.82667,0.79776,0.84298,0.54631,0.89968,0.87389,0.9288,0.84715,1.33808,0.70376,0.23494,1.0604,1.43616,0.00109,0.00109,0.00109
92,8946.25,1.11399,0.54762,0.20798,0.90822,1.27053,0.8258,0.79704,0.84276,0.54366,0.90067,0.87317,0.92904,0.84722,1.3382,0.70436,0.23498,1.05937,1.43599,0.000991,0.000991,0.000991
93,9041.09,1.10372,0.53677,0.20535,0.89882,1.26547,0.82669,0.79668,0.84283,0.5438,0.90141,0.87208,0.93019,0.84767,1.3394,0.70453,0.23504,1.05893,1.43677,0.000892,0.000892,0.000892
94,9135.91,1.09494,0.52623,0.20317,0.88504,1.26169,0.82716,0.79595,0.84284,0.54426,0.90242,0.871,0.92979,0.84745,1.33999,0.70535,0.23521,1.05853,1.43753,0.000793,0.000793,0.000793
95,9230.61,1.08683,0.52189,0.20324,0.87646,1.2531,0.82751,0.79559,0.84313,0.54445,0.90408,0.87064,0.92992,0.84814,1.34021,0.70557,0.2354,1.05885,1.43772,0.000694,0.000694,0.000694
96,9325.17,1.08441,0.51906,0.1999,0.87384,1.25431,0.82655,0.79776,0.843,0.54371,0.9029,0.87172,0.92954,0.84677,1.34061,0.70496,0.23517,1.05927,1.43825,0.000595,0.000595,0.000595
97,9420,1.07736,0.52065,0.20029,0.87138,1.24524,0.82633,0.79656,0.84215,0.54366,0.9018,0.87054,0.92892,0.84599,1.34121,0.70477,0.23547,1.05932,1.43892,0.000496,0.000496,0.000496
98,9514.47,1.07382,0.52234,0.19842,0.85857,1.24659,0.82565,0.79631,0.84213,0.5426,0.90091,0.87027,0.92877,0.84583,1.34215,0.704,0.2359,1.05819,1.43972,0.000397,0.000397,0.000397
99,9609.65,1.06507,0.51274,0.19727,0.85171,1.24208,0.82709,0.79559,0.84244,0.54265,0.90014,0.871,0.92945,0.8459,1.34273,0.70383,0.23584,1.05871,1.44037,0.000298,0.000298,0.000298
100,9704.15,1.06814,0.50287,0.19676,0.85182,1.24014,0.82897,0.79404,0.84248,0.54301,0.89962,0.87126,0.92978,0.84618,1.34345,0.7027,0.23588,1.05855,1.44129,0.000199,0.000199,0.000199
